category_name,duration_seconds,is_short,default_language,publish_hour_slt,publish_dow_slt,publish_is_weekend,tag_count,ch_subs_at_publish,ch_videos_at_publish,channel_age_days_at_publish,d30_views,publish_time_bucket,subscriber_tier,ch_avg_views_per_video_at_publish,topic_entertainment,topic_fashion,topic_food,topic_gaming,topic_health,topic_hobby,topic_humour,topic_knowledge,topic_lifestyle,topic_music,topic_pet,topic_politics,topic_religion,topic_society,topic_sports,topic_technology,topic_tourism,topic_vehicle,topic_missing
Sports,9092.0,False,en,17,3,False,5,12800.0,497.0,793.0179027295487,160.0,evening,10k_to_100k,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Education,23.0,True,en,16,0,False,0,25700.0,481.0,3096.289664351852,143.0,evening,10k_to_100k,,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
People & Blogs,145.0,False,si,23,2,False,21,3150000.0,328074.0,5485.051365740741,2443.0,late_night,1m_plus,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
News & Politics,456.0,False,si,22,4,False,0,101000.0,6693.0,4344.685925925926,30.0,late_night,100k_to_250k,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
News & Politics,252.0,False,si,20,2,False,25,810000.0,7445.0,3461.292974537037,11353.0,evening,500k_to_1m,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
News & Politics,107.0,False,si,12,5,True,18,3870000.0,180979.0,4295.006180555555,2015.0,morning_afternoon,1m_plus,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
News & Politics,205.0,False,si,15,6,True,18,3870000.0,180979.0,4289.149016203704,2811.0,evening,1m_plus,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Music,184.0,False,si,2,2,False,24,2400.0,2010.0,435.0605849172917,17.0,early_morning,1k_to_10k,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
News & Politics,6050.0,False,si,12,4,False,18,3870000.0,180979.0,4287.038101851852,1992.0,morning_afternoon,1m_plus,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
News & Politics,54.0,True,si,8,1,False,19,3760000.0,163923.0,3828.655740740741,983.0,morning_afternoon,1m_plus,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
News & Politics,89.0,False,si,8,0,False,19,3760000.0,163923.0,3827.665138888889,161.0,morning_afternoon,1m_plus,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
